Unnamed: 0,nameWithOwner,url,stargazers,releases,age,loc,cbo,dit,lcom
219,vlonjatg/AppTour,https://github.com/vlonjatg/AppTour,274,0,6,0.0,0.0,0.0,0.0
220,gridgain/gridgain-old,https://github.com/gridgain/gridgain-old,274,11,7,0.0,0.0,0.0,0.0
221,rajasharan/RearrangeableLayout,https://github.com/rajasharan/RearrangeableLayout,273,1,6,0.0,0.0,0.0,0.0
222,googleglass/mirror-quickstart-java,https://github.com/googleglass/mirror-quickstart-java,272,0,8,0.0,0.0,0.0,0.0
223,smart-fun/SmartFonts,https://github.com/smart-fun/SmartFonts,272,5,4,0.0,0.0,0.0,0.0
224,delight-im/Android-DDP,https://github.com/delight-im/Android-DDP,271,0,6,0.0,0.0,0.0,0.0
225,walkingp/AndroidCnblogs,https://github.com/walkingp/AndroidCnblogs,271,0,9,0.0,0.0,0.0,0.0
226,cesarferreira/CatKit,https://github.com/cesarferreira/CatKit,271,1,6,0.0,0.0,0.0,0.0
227,MasayukiSuda/AnimateHorizontalProgressBar,https://github.com/MasayukiSuda/AnimateHorizontalProgressBar,271,6,5,0.0,0.0,0.0,0.0
228,ArcBees/Jukito,https://github.com/ArcBees/Jukito,271,1,8,0.0,0.0,0.0,0.0
229,nurkiewicz/spring-data-jdbc-repository,https://github.com/nurkiewicz/spring-data-jdbc-repository,270,0,8,0.0,0.0,0.0,0.0
230,KyleBanks/IconEditText,https://github.com/KyleBanks/IconEditText,269,0,6,0.0,0.0,0.0,0.0
231,flavienlaurent/tickplusdrawable,https://github.com/flavienlaurent/tickplusdrawable,268,0,7,0.0,0.0,0.0,0.0
232,peholmst/vaadin4spring,https://github.com/peholmst/vaadin4spring,268,1,7,0.0,0.0,0.0,0.0
233,cwenao/springboot_cwenao,https://github.com/cwenao/springboot_cwenao,268,0,4,0.0,0.0,0.0,0.0
234,wongcain/MVP-Simple-Demo,https://github.com/wongcain/MVP-Simple-Demo,268,0,6,0.0,0.0,0.0,0.0
235,lynnchurch/PullToRefresh,https://github.com/lynnchurch/PullToRefresh,266,0,6,0.0,0.0,0.0,0.0
236,MoshDev/BackgroundViewPager,https://github.com/MoshDev/BackgroundViewPager,266,0,7,0.0,0.0,0.0,0.0
237,Elder-Wu/Notes,https://github.com/Elder-Wu/Notes,266,0,4,0.0,0.0,0.0,0.0
238,kymjs/CodeCafe,https://github.com/kymjs/CodeCafe,266,1,5,0.0,0.0,0.0,0.0
239,xiewenfeng/statusbartextcolorchange,https://github.com/xiewenfeng/statusbartextcolorchange,265,0,4,0.0,0.0,0.0,0.0
240,Even201314/NumberMorphView4Android,https://github.com/Even201314/NumberMorphView4Android,265,3,5,0.0,0.0,0.0,0.0
241,haseman/Android-AR-Kit,https://github.com/haseman/Android-AR-Kit,264,0,11,0.0,0.0,0.0,0.0
242,VictorAlbertos/RxSocialConnect-Android,https://github.com/VictorAlbertos/RxSocialConnect-Android,264,14,5,0.0,0.0,0.0,0.0
243,dan-zx/rox-android,https://github.com/dan-zx/rox-android,260,2,6,0.0,0.0,0.0,0.0
